81174,20000,8.90%,36 months,14.90%,MORTGAGE,6541.67,735-739,14272.0,< 1 year
99592,19200,12.12%,36 months,28.36%,MORTGAGE,4583.33,715-719,11140.0,2 years
80059,35000,21.98%,60 months,23.81%,MORTGAGE,11500.0,690-694,21977.0,2 years
33182,12000,11.71%,36 months,18.78%,RENT,3195.0,695-699,14469.0,9 years
62403,6000,15.31%,36 months,20.05%,OWN,4891.67,670-674,10391.0,3 years
48808,10000,7.90%,36 months,26.09%,RENT,2916.67,720-724,15957.0,10+ years
76404,14675,14.33%,36 months,26.92%,RENT,3150.0,685-689,7246.0,8 years
15867,7000,6.91%,36 months,7.10%,RENT,5000.0,715-719,7612.0,3 years
94971,2000,19.72%,36 months,10.29%,RENT,3575.0,670-674,12036.0,6 years
36911,10625,14.27%,36 months,12.54%,MORTGAGE,4250.0,665-669,10767.0,< 1 year
53853,9600,7.62%,36 months,3.45%,RENT,11250.0,725-729,4606.0,< 1 year
62127,10000,12.12%,36 months,17.72%,RENT,9000.0,695-699,20317.0,7 years
44987,10000,9.76%,36 months,7.13%,RENT,2733.33,730-734,6112.0,3 years
99483,30000,19.05%,60 months,21.25%,MORTGAGE,6250.0,695-699,34927.0,6 years
28798,6500,17.99%,60 months,19.63%,RENT,4100.0,665-669,11697.0,2 years
24168,17400,11.99%,36 months,12.47%,RENT,6833.33,695-699,26587.0,7 years
10356,4000,16.82%,60 months,13.71%,MORTGAGE,4500.0,670-674,20804.0,3 years
46027,7200,7.90%,36 months,24.82%,RENT,5416.67,705-709,12017.0,7 years
2238,8000,14.42%,36 months,24.63%,RENT,2964.17,675-679,8928.0,6 years
65278,8000,15.31%,36 months,15.46%,MORTGAGE,2916.67,675-679,7152.0,5 years
4227,3000,8.59%,36 months,3.72%,MORTGAGE,4167.0,765-769,7074.0,5 years
50182,14500,7.90%,36 months,4.85%,MORTGAGE,3958.33,760-764,9598.0,4 years
87023,23850,21.00%,60 months,28.81%,MORTGAGE,5833.33,685-689,25968.0,9 years
46120,14000,12.12%,36 months,14.93%,MORTGAGE,10583.33,685-689,35457.0,2 years
94582,16000,15.80%,60 months,11.94%,RENT,5250.0,685-689,154.0,3 years
39591,7200,7.90%,36 months,7.98%,RENT,5666.67,720-724,8783.0,3 years
78862,20125,7.62%,36 months,4.29%,MORTGAGE,3750.0,830-834,73952.0,1 year
98029,3200,17.27%,36 months,8.36%,MORTGAGE,2500.0,670-674,6619.0,3 years
95579,12725,11.14%,36 months,22.15%,RENT,4416.67,720-724,4079.0,3 years
4868,5500,19.13%,36 months,3.58%,RENT,12000.0,660-664,0.0,8 years
26822,15650,21.74%,36 months,13.86%,RENT,3700.0,660-664,10605.0,4 years
98445,9000,17.27%,36 months,25.22%,RENT,5166.67,675-679,5852.0,10+ years
14958,5000,11.86%,36 months,4%,RENT,5577.0,715-719,1069.0,1 year
14754,3000,10.38%,36 months,15.21%,RENT,3083.33,710-714,3098.0,2 years
